,east,north,depth,strike,dip,slip_m,rake,fault_name,point_index,htm_ind,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd,tau_ss,sig_nn
479,440899.22617213393,3191596.318169536,-8926.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,149,855,128.54944332203422,1.7370735747245885,-2.7622113619621893,-1.8445624104165046,90.90744160144854,90.37262697557594,-16.067048422856004,0.4917716277128972,100.97886873441571
480,438400.2901348751,3198973.482044306,-8626.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,150,855,128.9486833615224,0.7756563016210435,-1.7868504372697342,-3.155915014735254,92.56969472368633,90.74501324127718,-16.003174295987186,-1.3497046314050387,102.10381586592491
481,435979.9129254209,3206520.2664275696,-8706.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,151,855,131.93017825183873,0.9998073249965599,-0.7029931239787374,-3.9271476029621777,92.48656560909194,89.8136403862973,-17.675964101853182,-2.0787481948596946,103.75035780891639
482,434235.209423361,3214656.8985333457,-8430.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,152,855,134.00459904712537,1.4688292808640415,-1.1408545997478747,-2.462994599325624,91.34535357465519,88.51962179538569,-19.087674492858916,-0.9595287483645936,103.9691716539406
483,431728.7432863872,3218818.625895026,-7980.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,153,855,133.3891669248166,2.2045906919331335,-1.3211166213173098,-1.6207435933622372,90.88061716823508,88.57865370515515,-18.80052438356916,0.12126842811658534,103.95174445187389
484,429461.61927170656,3221131.0624268563,-8038.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,154,855,133.0436944366913,2.757475452669754,-1.575539498690688,-0.9218455868657613,90.96443033414965,88.84207945441088,-18.419029643256223,0.9347648607751986,104.16712344285284
485,428278.0991805597,3222153.6838674108,-8196.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,155,855,132.8724516850209,2.8062961782435925,-1.6785935940586347,-0.3720419342755202,91.16310203473336,88.94401222639891,-18.26977210787232,1.253956806286995,104.35121372788298
486,426995.0546986449,3223064.1152675436,-8254.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,156,855,132.48455071337443,2.7230444426750715,-1.6126142968882602,0.26144581277755036,91.5342481572869,89.17423702613786,-18.045840160552842,1.4906847179594824,104.69343362616888
487,425516.045975112,3224314.5220336067,-8355.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,157,855,132.15015651216018,2.3893616773476567,-1.2620072266923987,0.8102575784860583,91.89629771605313,89.70278283578931,-17.99196941493014,1.5546111516403176,105.18303939984087
488,424530.6690030453,3225223.495918342,-8633.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,158,855,132.2636580643319,2.105206554791223,-0.8791445349312242,0.9079043446368494,91.80405314373895,89.97560453965929,-18.290003701544848,1.4545587148816286,105.4314977814175
489,423150.5791166084,3226360.743208641,-8711.0,159.13257352468696,55.0,0.1,-90.0,Kung Co fault,159,855,132.62265932403284,1.8316810718662795,-0.4137964697167826,1.1071047982847597,91.81487479658435,90.45317189712084,-18.684306975561476,1.4263020375551054,105.94970589701721
514,580311.9500668797,3167802.469054787,-1764.0,194.4526749835005,55.0,0.1,-90.0,,24,903,116.47574284452261,0.22729515994774643,1.9303250157851264,-4.940198537785765,99.03678388533724,92.26745342295942,-9.504387650223812,-0.9644302316471136,107.3324915475322
515,581523.923037431,3176482.378355017,-1547.0,194.4526749835005,55.0,0.1,-90.0,,25,903,129.80341795656946,-2.581332639118741,-0.8026339355790131,-4.702559745039099,118.13694440818493,94.04910379673292,-5.735774668322101,0.19087753371230454,122.17804660044538
