Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 25 to 31
Longitude range: 78 to 95
Start date: 1904-09-01 00:00:00
End date: 2013-10-01 00:00:00
Events found: 98


DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
  1642898,HRVD     ,1999-10-05,17:04:50.80, 25.8800,  91.8900, 33.0,TRUE    ,HRVD     ,16,6.700, 5.2,16, 2.400,-6.430, 4.030, 0.730, 3.570,-1.780,149.00,79.00, 158.00,244.00,68.00,  12.00,16, 5.800,23.00,105.00,-7.690, 7.00,198.00, 1.880,65.00,304.00
  2379218,HRVD     ,2001-11-27,07:31:57.10, 29.6100,  81.7500, 15.0,TRUE    ,HRVD     ,17,2.220, 5.5,17, 0.180,-0.340, 0.160, 2.140, 0.060,-0.530,104.00,87.00,  92.00,257.00, 4.00,  63.00,17, 2.140,48.00, 16.00,-2.300,42.00,192.00, 0.170, 2.00,284.00
  2408305,HRVD     ,2001-11-27,08:53:59.40, 28.9100,  81.4900, 15.0,TRUE    ,HRVD     ,17,1.590, 5.4,17, 1.140,-1.200, 0.060, 0.810, 0.540,-0.500,119.00,64.00,  99.00,280.00,28.00,  73.00,17, 1.480,70.00, 46.00,-1.710,18.00,202.00, 0.230, 8.00,295.00
  3166176,NEIC     ,2002-06-04,14:36:05.80, 30.5950,  81.4400, 33.0,        ,NEIC     ,17,1.900, 5.5,17,-1.270,-0.520, 1.790,-0.860, 0.220,-0.440, 33.00,62.00, -55.00,157.00,44.00,-137.00,17, 1.900,10.00, 99.00,-1.850,57.00,353.00,-0.050,31.00,195.00
  3166176,HRVD     ,2002-06-04,14:36:08.50, 30.1300,  81.2500, 15.0,TRUE    ,HRVD     ,17,2.990, 5.6,17,-2.310,-0.480, 2.790,-1.500, 0.240,-0.140, 31.00,55.00, -53.00,159.00,49.00,-130.00,17, 2.820, 3.00, 96.00,-3.150,61.00,  0.00, 0.330,29.00,187.00
  6621514,HRVD     ,2003-03-25,18:51:30.70, 26.9200,  89.8200, 55.8,TRUE    ,HRVD     ,17,1.730, 5.4,17,-0.680,-1.260, 1.940,-0.460,-0.100, 0.010, 40.00,70.00, -21.00,137.00,71.00,-159.00,17, 1.940, 1.00,268.00,-1.510,29.00,358.00,-0.430,61.00,177.00
  7370445,NEIC     ,2004-07-11,23:08:44.18, 30.6940,  83.6720, 13.0,        ,NEIC     ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,175.00,45.00, -90.00,355.00,45.00, -90.00,  ,      , 0.00, 85.00,      ,90.00,  0.00,      , 0.00,  0.00
  7370445,NEIC     ,2004-07-11,23:08:44.18, 30.6940,  83.6720, 13.0,        ,NEIC     ,18,2.200, 6.2,18,-2.070,-0.080, 2.150,-0.320,-0.340,-0.090,  1.00,46.00, -77.00,162.00,45.00,-103.00,18, 2.200, 1.00, 82.00,-2.120,81.00,348.00,-0.070, 9.00,172.00
  7370445,HRVD     ,2004-07-11,23:08:44.20, 30.5600,  83.7800, 13.0,TRUE    ,HRVD     ,18,2.360, 6.2,18,-2.140,-0.220, 2.360,-0.390,-0.610,-0.030,156.00,47.00,-106.00,359.00,45.00, -74.00,18, 2.500, 1.00,257.00,-2.220,78.00,351.00,-0.280,12.00,167.00
  7376904,HRVD     ,2004-07-28,22:22:13.10, 30.3500,  83.6300, 13.7,TRUE    ,HRVD     ,16,3.680, 5.0,16,-3.240,-0.420, 3.670,-1.050,-0.620, 0.020,  9.00,47.00, -64.00,154.00,49.00,-115.00,16, 3.770, 1.00,261.00,-3.590,71.00,356.00,-0.170,19.00,171.00
